company_name,A money,A date,B money,B date,C money,C date,D money,D date,E money,E date,F money,F date,G money,G date,H money,H date,IPO money,IPO Date,Seed Money,Seed Date,Undisclosed Money,Undisclosed Date,Non series Money,Non Series Date,,
3rd Planet,1000000,01/05/12,,,,,,,,,,,,,,,0,0,,,,,10/02/11,500000,1500000,21/09/11
3rdKind,,,,,,,,,,,,,,,,,0,0,,,,,29/07/14,3000000,3000000,29/07/14
3ROAM,,,,,,,,,,,,,,,,,0,0,,,,,14/11/08,2788500,2788500,14/11/08
3scale,,,,,,,,,,,,,,,,,0,0,3200000,20/04/10,,,24/04/13,8400000,11600000,21/04/11
3Scan,26692048,05/12/14,,,,,,,,,,,,,,,0,0,40000,07/08/12,,,,0,27082048,20/11/13
3SI Security Systems,,,,,,,,,,,,,,,,,0,0,,,,,29/07/02,13000000,13000000,29/07/02
3Sourcing,,,,,,,,,,,,,,,,,0,0,,28/02/14,,,,0,,28/02/14
3SP Group,,,,,,,,,,,,,,,,,0,0,,,,,20/05/09,13780000,13780000,20/05/09
3sun,,,,,,,,,,,,,,,,,0,0,,,,,03/03/14,15152514,15152514,03/03/14
3TEN8,,,,,,,,,,,,,,,,,0,0,11690000,15/04/15,,,,0,11690000,15/04/15
3TIER,,,2000000,05/09/07,,,,,,,,,,,,,0,0,,,,,18/12/08,10000000,12000000,27/04/08
3Touch,,,,,,,,,,,,,,,,,0,0,,,,,01/05/07,272000,272000,01/05/07
3V Transaction Services,101917793.2,30/12/09,,,,,,,,,,,,,,,0,0,,,,,,0,101917793.2,30/12/09
3VR,5000000,15/01/09,30000000,17/01/06,27000000,28/09/06,12000000,20/08/09,34000000,21/12/10,,,,,,,0,0,,,,,13/01/15,8000000,123134388,07/05/09
3ware,,,,,,,104000000,11/02/03,,,,,,,,,0,0,,,,,,0,104000000,11/02/03
3X Systems,3400000,20/02/08,,,,,,,,,,,,,,,0,0,,,,,,0,3400000,20/02/08
4 Animals AlsterScience GmbH,,,,,,,,,,,,,,,,,0,0,,,,,10/10/14,0,,10/10/14
4-Antibody AG,13660000,16/01/07,,,,,,,,,,,,,,,0,0,,,,,,0,13660000,16/01/07
4-Tell,7000000,01/01/12,,,,,,,,,,,,,,,0,0,25000,05/07/12,,,,0,7025000,11/02/12
40 Partners Ltd,,,,,,,,,,,,,,,,,0,0,228187.7833,01/07/13,,,,0,228187.7833,01/07/13
404 Found!,17200800,01/07/00,,,,,,,,,,,,,,,0,0,,,,,,0,17200800,01/07/00
410 Labs,3000000,11/07/11,,,,,,,,,,,,,,,0,0,,,,,,0,3000000,11/07/11
41st Parameter,,,22400000,08/05/06,30210000,09/08/07,65000000,11/04/12,,,,,,,,,0,0,,,,,,0,117610000,08/09/09
42Floors,40000000,16/11/12,48000000,31/01/13,,,,,,,,,,,,,0,0,2800000,01/12/11,,01/09/11,,0,90800000,09/07/12
42matters AG,,09/02/14,,,,,,,,,,,,,,,0,0,,12/09/11,,,,0,,21/04/13
42Networks,,,2258720,13/02/06,,,,,,,,,,,,,0,0,,,,,,0,2258720,13/02/06
46elks,,,,,,,,,,,,,,,,,0,0,1332222.49,28/11/13,,,,0,1332222.49,28/11/13
480 Biomedical,45000000,14/02/12,,,1200000,19/06/15,,,,,,,,,,,0,0,,,,,,0,46200000,15/12/12
4Blox,,,,,,,,,,,,,,,,,0,0,,,,10/09/07,,0,,10/09/07
4C,,,,,,,,,,,,,,,,,0,0,,,,,21/01/14,0,,21/01/14
4D Energetics,,,,,,,,,,,,,,,,,0,0,,,,01/09/12,,0,,01/09/12
4Deep,,,,,,,,,,,,,,,,,0,0,500000,20/11/15,,,,0,500000,20/11/15
4energy,,,,,,,,,,,,,,,,,0,0,,,,,11/04/11,0,,11/04/11
4Front Security,,,,,,,,,,,,,,,,,0,0,,,,26/05/05,,0,,26/05/05
4Home,2850000,01/08/06,1000000,30/09/08,,,,,,,,,,,,,0,0,,,,,,0,3850000,31/08/07
